sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.0599;0.3137;9.8381;0.059;0.3154;9.8014;0.0033;-0.0065;0.0319;-3.0E-4;4.0E-4;-2.0E-4;462.0;-6.18;-3.12;-12.36;113.78;-1.84;-0.34;3.1;1013.1;33.953;49.29432;8.6391;;349.31242999289714;;;210.44838;;0 / 0;12;2018-01-12 16:40:57:398
0.0718;0.3089;9.862;0.0601;0.3157;9.8014;-0.0027;0.0051;0.0415;3.0E-4;-3.0E-4;5.0E-4;466.0;-6.84;-3.9;-12.36;126.24;-1.84;-0.35;3.1;1013.09;33.193;49.29432;8.6391;;349.31242999289714;;;210.44838;;0 / 0;511;2018-01-12 16:40:57:897
0.0575;0.3137;9.8405;0.0601;0.3155;9.8014;0.0093;5.0E-4;0.0295;3.0E-4;-3.0E-4;5.0E-4;467.0;-6.48;-3.6;-12.84;121.15;-1.84;-0.35;3.1;1013.09;36.45;49.29432;8.6391;;349.31242999289714;;;210.44838;;0 / 0;1011;2018-01-12 16:40:58:397
0.0455;0.3256;9.8524;0.0602;0.3157;9.8014;-0.005;-0.0114;0.0534;3.0E-4;4.0E-4;5.0E-4;468.0;-6.36;-1.74;-16.32;104.1;-1.84;-0.35;3.1;1013.1;45.49;49.29432;8.6391;;349.31242999289714;;;210.44838;;0 / 0;1511;2018-01-12 16:40:58:897
0.0455;0.3184;9.8405;0.06;0.315;9.8014;0.0095;0.0034;0.0367;3.0E-4;-3.0E-4;-2.0E-4;469.0;-8.64;0.36;-19.08;86.06;-1.84;-0.35;3.1;1013.09;34.786;49.29432;8.6391;;349.31242999289714;;;210.44838;;0 / 0;2011;2018-01-12 16:40:59:397
0.0551;0.316;9.8405;0.06;0.315;9.8014;-0.0073;0.0034;0.0223;-3.0E-4;-3.0E-4;-8.0E-4;469.0;-6.66;-1.38;-16.2;94.01;-1.84;-0.35;3.1;1013.09;44.475;49.29432;8.6391;;349.31242999289714;;;210.44838;;0 / 0;2511;2018-01-12 16:40:59:897
0.0599;0.3113;9.8405;0.06;0.315;9.8014;-0.0049;0.001;0.0367;-3.0E-4;4.0E-4;-2.0E-4;468.0;-9.0;0.9;-19.98;79.51;-1.84;-0.35;3.1;1013.09;36.671;49.29432;8.6391;;349.31242999289714;;;210.44838;;0 / 0;3011;2018-01-12 16:41:00:397
0.0838;0.316;9.8285;0.06;0.315;9.8014;-0.0049;0.0058;0.0486;3.0E-4;4.0E-4;5.0E-4;469.0;-6.54;-1.2;-15.6;94.01;-1.84;-0.35;3.1;1013.09;42.184;49.29432;8.6391;;349.31242999289714;;;210.44838;;0 / 0;3511;2018-01-12 16:41:00:897
0.0575;0.3089;9.8524;0.0602;0.3148;9.8014;-0.0123;-0.0131;0.0462;1.0E-4;-3.0E-4;-8.0E-4;469.0;-6.96;-2.22;-14.7;102.38;-1.84;-0.35;3.1;1013.1;41.948;49.29432;8.6391;;349.31242999289714;;;210.44838;;0 / 0;4011;2018-01-12 16:41:01:397
0.0455;0.3232;9.8381;0.0602;0.3149;9.8014;0.0068;-0.0012;0.0415;8.0E-4;3.0E-4;-1.0E-4;469.0;-7.38;-1.86;-16.2;102.13;-1.84;-0.35;3.1;1013.1;49.25;49.29432;8.6391;;349.31242999289714;;;210.44838;;0 / 0;4511;2018-01-12 16:41:01:897
